Event_ID,ticker,gvkey,fiscal_month,cusip,name,fiscal_year,event_year,event_date,confound_dum,confound_type,breach_size,breach_type,event_state,hq_state,dif3,dif7
1,AMR,1388.0,12,23771009,AMR Corporation,2010,2010,2010-06-04,0,none,79000,PORT,Texas,Texas,,
2,CPS,65156.0,12,"1,70E+08",ChoicePoint,2005,2005,2005-02-15,0,none,163000,INSD,Georgia,Georgia,,
3,BAC,7647.0,12,60505104,Bank of America Corp.,2005,2005,2005-02-24,0,none,1200000,PORT,North Carolina,North Carolina,0.4406137363941968,0.42110164906907643
4,IRM,62374.0,12,46284V101,"Time Warner, Iron Mountain Inc.",2005,2005,2005-05-02,0,none,600000,PORT,New York,New York,0.0726683993539335,0.16752877412155953
5,KODK,4194.0,12,"2,77E+08",Eastman Kodak,2005,2005,2005-06-22,0,none,5800,PORT,New York,New York,,
6,BAC,7647.0,12,60505104,Bank of America,2005,2005,2005-06-29,0,none,18000,PORT,North Carolina,North Carolina,0.531240135468104,0.5244578653680968
7,CYN,3082.0,12,"1,79E+08","City National Bank, Iron Mountain",2005,2005,2005-07-06,0,none,0,PORT,California,California,,
8,BAC,7647.0,12,60505104,Bank of America,2005,2005,2005-09-23,0,none,0,PORT,North Carolina,North Carolina,0.2602621619605251,0.457337173348233
9,BA,2285.0,12,97023105,Boeing,2005,2005,2005-11-18,0,none,161000,PORT,Illinois,Illinois,0.2424114837005769,0.9852506647154939
10,AMP,164708.0,12,03076C106,Ameriprise Financial Inc.,2005,2005,2005-12-25,0,none,226000,PORT,Minnesota,Minnesota,0.4071288020560564,0.2901938631011134
11,HRB,2269.0,4,93671105,H&R Block,2005,2006,2006-01-02,0,none,0,DISC,Missouri,Missouri,0.0791830041309316,0.17085155835454066
12,PBCT,16245.0,12,"7,13E+08",People's Bank,2006,2006,2006-01-11,0,none,90000,PORT,Connecticut,Connecticut,,
13,NYT,7866.0,12,"6,50E+08",Boston Globe (The New York Times Company),2006,2006,2006-01-31,0,none,240000,DISC,Massachusetts,New York,0.2046921756884027,0.19051062032457827
14,C,3243.0,12,"1,73E+08",Citibank,2010,2010,2010-10-14,0,none,0,INSD,Kentucky,New York,0.9986698036228948,0.7253850086436735
15,VZ,2136.0,12,92343V104,Verizon Communications,2006,2006,2006-03-08,0,none,0,PORT,New York,New York,0.1087282037586667,0.1324647832262694
16,ATV,177340.0,12,4854105,ACORN,2009,2009,2009-11-24,0,none,0,DISC,California,California,,
17,BA,2285.0,12,97023105,Boeing,2006,2006,2006-04-21,0,none,3600,PORT,Washington,Illinois,0.9462150557512462,0.9382118507375538
18,MTB,4699.0,12,55261F104,M &T Bank via contractor PFPC,2006,2006,2006-05-17,0,none,0,PORT,New York,New York,0.9705040378668924,0.9335350555308689
19,AIG,1487.0,12,26874784,American International Group (AIG),2006,2006,2006-06-14,0,none,930000,STAT,New York,New York,4.797130571579174,5.593392481706175
20,ADP,1891.0,6,53015103,Automatic Data Processing (ADP),2006,2006,2006-06-17,0,none,80,DISC,New Jersey,New Jersey,0.1208606089065964,0.12796036860169
21,C,3243.0,12,"1,73E+08",Citigroup,2010,2010,2010-02-24,0,none,600000,DISC,New York,New York,0.3516928621766632,0.24834152568395015
22,ADP,1891.0,6,53015103,Automatic Data Processing (ADP),2006,2006,2006-07-06,0,none,0,UNKN,New Jersey,New Jersey,0.3612281946417457,0.3859860196468059
23,CVC,12485.0,12,12686C109,"Cablevision Systems Corp., ACS, FedEx",2006,2006,2006-07-25,0,none,13700,PORT,New York,New York,,
24,CVX,2991.0,12,"1,67E+08",Chevron,2006,2006,2006-08-16,0,none,0,PORT,California,California,0.3427038548079609,0.29173707717071334
25,AFL,1449.0,12,1055102,AFLAC  American Family Life Assurance Co.,2006,2006,2006-08-22,0,none,612,PORT,South Carolina,Georgia,0.0824432916301535,0.13488925753853337
26,HLYW,28600.0,12,"4,36E+08",Hollywood Video,2010,2010,2010-04-09,0,none,0,PHYS,Nevada,Nevada,,
27,T,9899.0,12,00206R102,AT&T,2006,2006,2006-08-29,0,none,19000,HACK,California,Texas,0.0264324642525299,0.08501319090026614
28,WFC,8007.0,12,"9,50E+08",Wells Fargo,2006,2006,2006-09-01,0,none,0,PORT,California,California,0.0443528509433704,0.09281871242938819
29,JPM,2968.0,12,46625H100,JP Morgan Chase & Co.,2006,2006,2006-09-07,0,none,2600000,PORT,Delaware,Virginia,0.2229262419741438,0.24051835921012912
30,TYO,,12,,Nikon Inc.,2006,2006,2006-09-14,0,none,3235,DISC,New York,Tokyo,,
31,PNC,8245.0,12,"6,93E+08",PNC Financial Services Group Inc.,2010,2010,2010-03-18,0,none,0,CARD,Ohio,Pennsylvania,0.7068747678338263,0.6427306180690804
